range,x,y,z,intensity,ring,time,timestamp
25.004004,24.99711,0.39269257,0.43637997,73.0,23,-0.02714994,1782503088.7364268
25.000002,24.99422,0.31410265,0.43631017,73.0,23,-0.027094644,1782503088.7364268
24.992002,24.987206,0.2224264,0.43617055,77.0,23,-0.027039347,1782503088.7364268
24.988,24.983805,0.13953543,0.43610072,73.0,23,-0.02698405,1782503088.7364268
24.995998,24.992212,0.41006145,0.1452746,33.0,21,-0.025587488,1782503088.7364268
24.996002,24.993439,0.32718223,0.1452746,34.0,21,-0.025532192,1782503088.7364268
25.000004,24.99847,0.2356119,0.14529786,34.0,21,-0.025476895,1782503088.7364268
25.000002,24.99914,0.14834955,0.14529786,34.0,21,-0.0254216,1782503088.7364268
25.000002,24.995224,0.39266095,0.2910271,60.0,22,-0.02814218,1782503088.8362842
24.988,24.984442,0.30525568,0.2908874,58.0,22,-0.028086884,1782503088.8362842
24.988,24.985394,0.21368662,0.2908874,58.0,22,-0.028031588,1782503088.8362842
24.996,24.991203,0.22246198,0.43624035,73.0,23,-0.027253821,1782503088.8362842
25.004002,25.000357,0.4014658,0.1453211,33.0,21,-0.025827268,1782503088.8362842
24.991999,24.990507,0.2311749,0.14525135,33.0,21,-0.025716677,1782503088.8362842
24.984,24.979359,0.3836906,0.29084083,58.0,22,-0.02835192,1782503088.9368832
24.991999,24.988546,0.29658216,0.29093397,58.0,22,-0.028296623,1782503088.9368832
24.996,24.99343,0.20940506,0.29098052,58.0,22,-0.028241327,1782503088.9368832
24.996,24.989178,0.3882058,0.43624035,73.0,23,-0.027579637,1782503088.9368832
25.000002,24.997606,0.31414565,0.14529786,32.0,21,-0.025980487,1782503088.9368832
24.996002,24.994589,0.22248733,0.1452746,34.0,21,-0.025925191,1782503088.9368832
24.992002,24.991215,0.13521694,0.14525135,33.0,21,-0.025868021,1782503088.9368832
24.984,24.979086,0.40111652,0.29084083,58.0,22,-0.028549705,1782503089.0370405
24.991999,24.98833,0.31403863,0.29093397,58.0,22,-0.028504455,1782503089.0370405
24.992,24.989237,0.23116536,0.29093397,58.0,22,-0.028449161,1782503089.0370405
24.987997,24.985891,0.14390548,0.2908874,58.0,22,-0.028393865,1782503089.0370405
24.988003,24.980762,0.41423994,0.43610072,73.0,23,-0.027782226,1782503089.0370405
24.988,24.982168,0.31831184,0.43610072,70.0,23,-0.02772693,1782503089.0370405
24.984003,24.979088,0.2354334,0.43603092,70.0,23,-0.027671633,1782503089.0370405
24.988003,24.983757,0.14826776,0.43610072,73.0,23,-0.027616337,1782503089.0370405
24.992,24.98807,0.41871825,0.14525135,34.0,21,-0.026265312,1782503089.0370405
24.992,24.990341,0.24862145,0.14525135,34.0,21,-0.02615472,1782503089.0370405
24.996,24.995085,0.15705076,0.1452746,35.0,21,-0.026099425,1782503089.0370405
24.996,24.991556,0.37079015,0.29098052,59.0,22,-0.028728468,1782503089.1367025
24.992,24.988699,0.283499,0.29093397,59.0,22,-0.028673172,1782503089.1367025
24.991999,24.988935,0.26170537,0.29093397,60.0,22,-0.028871246,1782503089.2368965
24.987999,24.985666,0.17880219,0.2908874,60.0,22,-0.028815951,1782503089.2368965
24.984003,24.97878,0.26594928,0.43603092,73.0,23,-0.02809229,1782503089.2368965
24.984003,24.979527,0.18312006,0.43603092,70.0,23,-0.028036993,1782503089.2368965
25.000002,24.996828,0.37086272,0.14529786,33.0,21,-0.026603969,1782503089.2368965
24.988,24.986841,0.19188894,0.1452281,35.0,21,-0.026483873,1782503089.2368965
24.996,24.993155,0.23992613,0.29098052,60.0,22,-0.028998034,1782503089.3372731
24.991999,24.989866,0.14830197,0.29093397,60.0,22,-0.028942738,1782503089.3372731
24.984003,24.976763,0.4141736,0.43603092,70.0,23,-0.028360186,1782503089.3372731
24.992002,24.986055,0.327084,0.43617055,73.0,23,-0.02830489,1782503089.3372731
24.984003,24.979004,0.24415223,0.43603092,70.0,23,-0.028249593,1782503089.3372731
24.988003,24.98373,0.1526161,0.43610072,77.0,23,-0.028194299,1782503089.3372731
24.996,24.993261,0.34026855,0.1452746,34.0,21,-0.026735287,1782503089.3372731
24.984001,24.979494,0.37495986,0.29084083,58.0,22,-0.029316919,1782503089.4373875
24.984,24.980648,0.28777996,0.29084083,57.0,22,-0.029261623,1782503089.4373875
24.988,24.985468,0.20496547,0.2908874,58.0,22,-0.02919277,1782503089.4373875
24.996,24.989313,0.37948343,0.43624035,73.0,23,-0.028524643,1782503089.4373875
25.000002,24.994486,0.2922922,0.43631017,77.0,23,-0.028469348,1782503089.4373875
24.996002,24.991354,0.20500398,0.43624035,77.0,23,-0.028414052,1782503089.4373875
24.992,24.988495,0.39255068,0.14525135,33.0,21,-0.026969822,1782503089.4373875
24.996,24.993765,0.3010086,0.1452746,32.0,21,-0.026914526,1782503089.4373875
24.988,24.986666,0.21369396,0.1452281,33.0,21,-0.02685923,1782503089.4373875
24.995998,24.991013,0.4056826,0.29098052,59.0,22,-0.029522128,1782503089.5375347
24.996,24.992277,0.3184504,0.29098052,59.0,22,-0.029466834,1782503089.5375347
24.987999,24.985237,0.23112836,0.2908874,60.0,22,-0.029411538,1782503089.5375347
24.988003,24.982113,0.32268363,0.43610072,70.0,23,-0.028687399,1782503089.5375347
24.980003,24.97509,0.23539571,0.43596113,70.0,23,-0.028632103,1782503089.5375347
25.004002,24.999998,0.42328256,0.1453211,34.0,21,-0.027208172,1782503089.5375347
24.996002,24.993322,0.33590645,0.1452746,33.0,21,-0.027152875,1782503089.5375347
24.992,24.990297,0.2529832,0.14525135,34.0,21,-0.027097581,1782503089.5375347
24.988003,24.98703,0.16572285,0.1452281,33.0,21,-0.027042285,1782503089.5375347
24.988,24.983559,0.37067148,0.2908874,58.0,22,-0.029667037,1782503089.6377797
24.996,24.989378,0.37512225,0.43624035,73.0,23,-0.02889094,1782503089.6377797
25.000002,24.995932,0.34467575,0.2910271,62.0,22,-0.029833877,1782503089.737922
25.000002,24.996937,0.26178917,0.2910271,59.0,22,-0.029778583,1782503089.737922
24.996,24.993666,0.17885943,0.29098052,60.0,22,-0.029723287,1782503089.737922
24.988,24.98176,0.34884304,0.43610072,70.0,23,-0.029047292,1782503089.737922
24.988003,24.98278,0.26599187,0.43610072,70.0,23,-0.028991995,1782503089.737922
24.992002,24.987587,0.17445698,0.43617055,77.0,23,-0.028936699,1782503089.737922
24.996,24.994066,0.27483526,0.1452746,33.0,21,-0.027456246,1782503089.737922
25.000002,24.995085,0.40137342,0.2910271,58.0,22,-0.03006099,1782503089.8381221
24.995996,24.99233,0.31408888,0.29098052,59.0,22,-0.030005693,1782503089.8381221
24.991999,24.989891,0.14392851,0.29093397,58.0,22,-0.0298951,1782503089.8381221
24.992004,24.987087,0.23550878,0.43617055,73.0,23,-0.029173618,1782503089.8381221
24.984003,24.979757,0.14824402,0.43603092,70.0,23,-0.029118324,1782503089.8381221
25.0,24.996069,0.41885233,0.14529786,33.0,21,-0.027748225,1782503089.8381221
24.991999,24.989378,0.3314911,0.14525135,34.0,21,-0.027692929,1782503089.8381221
24.996,24.99434,0.24866123,0.1452746,34.0,21,-0.027637633,1782503089.8381221
25.000004,24.99906,0.16143908,0.14529786,35.0,21,-0.027582336,1782503089.8381221
24.988,24.983686,0.36193916,0.2908874,58.0,22,-0.030201128,1782503089.9384606
24.995998,24.992842,0.2704589,0.29098052,58.0,22,-0.030145831,1782503089.9384606
24.984,24.981604,0.18749332,0.29084083,58.0,22,-0.030090537,1782503089.9384606
24.988003,24.981447,0.37063044,0.43610072,73.0,23,-0.029414542,1782503089.9384606
24.988,24.982588,0.28344387,0.43610072,73.0,23,-0.029359246,1782503089.9384606
24.996,24.991423,0.19629273,0.43624035,77.0,23,-0.02930395,1782503089.9384606
24.996,24.992697,0.3795274,0.1452746,33.0,21,-0.027878078,1782503089.9384606
25.000002,24.997871,0.2923311,0.14529786,34.0,21,-0.02783259,1782503089.9384606
24.996002,24.994738,0.2050378,0.1452746,34.0,21,-0.027777294,1782503089.9384606
24.988,24.983294,0.3881002,0.2908874,58.0,22,-0.0304514,1782503090.0388067
24.987999,24.984495,0.3009071,0.2908874,57.0,22,-0.030396104,1782503090.0388067
24.988,24.985357,0.21804692,0.2908874,57.0,22,-0.030340808,1782503090.0388067
25.000004,24.993044,0.39697966,0.43631017,73.0,23,-0.029672442,1782503090.0388067
24.996002,24.995165,0.14396371,0.1452746,34.0,21,-0.027942434,1782503090.0388067
24.987999,24.983154,0.39683273,0.2908874,58.0,22,-0.03065896,1782503090.138661
24.988,24.984388,0.30961597,0.2908874,58.0,22,-0.030603664,1782503090.138661
24.987999,24.985916,0.1395569,0.2908874,58.0,22,-0.03049239,1782503090.138661
24.980003,24.972908,0.40539068,0.43596113,70.0,23,-0.029879525,1782503090.138661
24.984003,24.979128,0.23107404,0.43603092,70.0,23,-0.029760147,1782503090.138661
24.988,24.983782,0.14390755,0.43610072,70.0,23,-0.02970485,1782503090.138661
24.992002,24.989439,0.3271299,0.14525135,34.0,21,-0.028278979,1782503090.138661
24.992,24.990427,0.23989826,0.14525135,100.0,21,-0.028223682,1782503090.138661
24.996002,24.995113,0.1526881,0.1452746,33.0,21,-0.028168386,1782503090.138661
24.995998,24.992935,0.26174727,0.29098052,60.0,22,-0.030773845,1782503090.2389834
24.987999,24.985697,0.17444171,0.2908874,59.0,22,-0.030718548,1782503090.2389834
24.988,24.983616,0.17006885,0.43610072,73.0,23,-0.02993959,1782503090.2389834
24.992,24.988956,0.3620212,0.14525135,100.0,21,-0.02851089,1782503090.2389834
25.000002,24.998068,0.27487925,0.14529786,34.0,21,-0.028455595,1782503090.2389834
24.996,24.989042,0.3969161,0.43624035,73.0,23,-0.030284002,1782503090.3390892
24.988003,24.983168,0.22675095,0.43610072,73.0,23,-0.030173412,1782503090.3390892
24.995998,24.991802,0.1395801,0.43624035,73.0,23,-0.030118115,1782503090.3390892
24.992,24.988214,0.40999582,0.14525135,33.0,21,-0.028742772,1782503090.3390892
24.996,24.995138,0.14832582,0.1452746,33.0,21,-0.028576883,1782503090.3390892
24.98,24.975428,0.37927043,0.29079428,58.0,22,-0.031235728,1782503090.4392488
24.988,24.984598,0.29217458,0.2908874,58.0,22,-0.031180466,1782503090.4392488
24.992002,24.989468,0.20499827,0.29093397,58.0,22,-0.031125171,1782503090.4392488
24.992002,24.985249,0.38377124,0.43617055,77.0,23,-0.030457044,1782503090.4392488
24.996002,24.990435,0.2966188,0.43624035,73.0,23,-0.030401748,1782503090.4392488
24.996002,24.991318,0.20937745,0.43624035,73.0,23,-0.030346451,1782503090.4392488
24.992,24.988426,0.39691198,0.14525135,100.0,21,-0.02890532,1782503090.4392488
24.996,24.993711,0.3053709,0.1452746,33.0,21,-0.028850025,1782503090.4392488
25.004002,25.002628,0.21819486,0.1453211,34.0,21,-0.028794728,1782503090.4392488
24.995998,24.991869,0.34897014,0.29098052,60.0,22,-0.031401854,1782503090.5394013
24.988,24.983555,0.17877735,0.43610072,73.0,23,-0.03050304,1782503090.5394013
24.996002,24.99302,0.35771716,0.1452746,34.0,21,-0.02907884,1782503090.5394013
