range,x,y,z,intensity,t,reflectivity,ring,ambient,timestamp
25095,25.089884,0.30126128,0.44329575,433.0,50784080,435,30,10695,1782510865.6148322
25087,25.08475,0.2878958,0.20685768,370.0,50784080,519,31,36567,1782510865.6148322
25100,25.099045,0.13404302,0.20694618,393.0,50881350,506,31,51380,1782510865.6148322
25114,25.113043,0.13411815,0.20704147,376.0,50901360,502,31,40960,1782510865.7093651
25137,25.131876,0.30176586,0.44397745,414.0,50757250,471,30,37,1782510865.8078341
25108,25.102882,0.30141747,0.44350675,397.0,50708970,429,30,53845,1782510865.9110508
25104,25.101748,0.28809136,0.2069734,376.0,50708970,471,31,40931,1782510865.9110508
25090,25.089045,0.13398935,0.20687811,379.0,50806150,552,31,42122,1782510865.9110508
25106,25.10226,0.14737163,0.4434743,406.0,50774790,463,30,59933,1782510866.0105982
25084,25.081749,0.28786132,0.20683727,374.0,50677730,534,31,38960,1782510866.0105982
25121,25.117258,0.1474598,0.44371775,424.0,50778620,454,30,5466,1782510866.1097941
25117,25.114746,0.28824088,0.20706189,375.0,50700210,524,31,40266,1782510866.2122633
25134,25.133043,0.13422549,0.20717761,387.0,50797320,517,31,48196,1782510866.2122633
25088,25.082886,0.30117717,0.44318214,393.0,50728780,435,30,50891,1782510866.3132193
25076,25.072264,0.14719526,0.44298735,390.0,50825870,410,30,48904,1782510866.3132193
25089,25.088045,0.13398398,0.2068713,372.0,50825870,501,31,37966,1782510866.3132193
25093,25.087885,0.30123726,0.4432633,394.0,50734650,411,30,51756,1782510866.411952
25104,25.10026,0.14735988,0.44344184,396.0,50831830,418,30,53200,1782510866.411952
25098,25.095747,0.28802234,0.20693256,364.0,50734650,482,31,33198,1782510866.411952
25098,25.092884,0.3012973,0.44334444,384.0,50739270,421,30,45505,1782510866.7135642
25094,25.090261,0.14730108,0.44327953,375.0,50818080,451,30,39601,1782510866.8081338
25122,25.119745,0.2882984,0.20709592,369.0,50700790,565,31,36339,1782510866.910762
25134,25.128878,0.3017298,0.44392875,443.0,50675490,453,30,17762,1782510867.0113444
25139,25.135256,0.14756563,0.4440099,406.0,50772420,422,30,60185,1782510867.0113444
25116,25.113747,0.28822938,0.20705508,384.0,50675490,523,31,45920,1782510867.0113444
25116,25.112259,0.14743042,0.4436366,410.0,50745430,449,30,62101,1782510867.1094005
25131,25.127256,0.14751859,0.44388005,422.0,50761110,454,30,4426,1782510867.2096784
25132,25.128256,0.14752448,0.4438963,406.0,50803770,437,30,59965,1782510867.3105931
25081,25.080044,0.13394105,0.20681685,388.0,50803770,542,31,47653,1782510867.3105931
25089,25.083885,0.30118918,0.44319835,404.0,50729780,459,30,57714,1782510867.4092999
25091,25.087263,0.14728345,0.44323084,389.0,50826940,444,30,48383,1782510867.4092999
25113,25.110746,0.28819486,0.20703466,394.0,50729780,518,31,52197,1782510867.4092999
25111,25.10726,0.14740102,0.44355544,394.0,50844750,431,30,52003,1782510867.6097283
25114,25.111746,0.28820637,0.20704147,386.0,50747540,527,31,47131,1782510867.6097283
25097,25.096045,0.13402691,0.20692575,375.0,50844750,510,31,39960,1782510867.6097283
25081,25.078749,0.2878268,0.20681685,370.0,50678760,524,31,36442,1782510867.9077485
25100,25.09626,0.14733635,0.4433769,409.0,50768460,432,30,61225,1782510868.0171766
25078,25.07575,0.2877923,0.20679642,373.0,50671340,531,31,38220,1782510868.0171766
25101,25.097261,0.14734223,0.44339314,392.0,50806400,452,30,50434,1782510868.1119227
25127,25.121878,0.30164573,0.44381514,401.0,50736430,447,30,56661,1782510868.5113878
25109,25.103882,0.30142948,0.443523,416.0,50740050,470,30,709,1782510868.8121657
25090,25.087748,0.2879303,0.20687811,358.0,50740050,518,31,29074,1782510868.8121657
25079,25.078045,0.13393031,0.20680323,383.0,50814920,488,31,44773,1782510868.9142003
25102,25.096884,0.30134538,0.44340938,428.0,50687540,461,30,8179,1782510869.0099347
25101,25.098747,0.28805685,0.20695299,385.0,50687540,519,31,46283,1782510869.0099347
25130,25.124878,0.30168176,0.44386384,420.0,50674040,455,30,3126,1782510869.3115706
25124,25.123043,0.13417181,0.20710954,412.0,50771100,539,31,63667,1782510869.3115706
25117,25.11188,0.3015256,0.44365284,407.0,50678880,441,30,60268,1782510869.4101565
25082,25.076887,0.3011051,0.44308475,398.0,50681390,438,30,53917,1782510869.5090575
25090,25.086262,0.14727756,0.4432146,414.0,50778520,443,30,64112,1782510869.5090575
25088,25.087044,0.13397862,0.20686449,359.0,50778520,537,31,29572,1782510869.5090575
25104,25.103045,0.13406448,0.2069734,396.0,50806290,569,31,53000,1782510869.6098044
25109,25.106747,0.28814885,0.20700744,390.0,50760140,527,31,49551,1782510869.7118216
25129,25.123878,0.30166975,0.4438476,413.0,50766000,431,30,64357,1782510870.2134497
25100,25.094883,0.30132136,0.4433769,398.0,50727320,448,30,54207,1782510870.3118849
25097,25.093262,0.14731872,0.4433282,392.0,50824450,430,30,50481,1782510870.3118849
25114,25.108881,0.30148953,0.44360414,400.0,50668990,434,30,55830,1782510870.410848
25135,25.129877,0.30174184,0.443945,420.0,50628130,426,30,3396,1782510870.508272
25136,25.130877,0.30175385,0.4439612,425.0,50634210,414,30,6637,1782510870.6099572
25126,25.122257,0.1474892,0.4437989,392.0,50731170,466,30,51476,1782510870.6099572
25072,25.071045,0.13389274,0.2067556,395.0,50795560,506,31,52089,1782510870.8111997
25099,25.098043,0.13403764,0.20693937,412.0,50842170,523,31,63242,1782510870.9139013
25133,25.127876,0.3017178,0.44391254,422.0,50743170,462,30,5062,1782510871.1140254
