calculated_range,x,y,z,intensity,t,reflectivity,ring,ambient,range,timestamp
25.093609,25.089262,0.1472952,0.4432633,394.0,50806310,624,30,51851,25093,1782507050.348608
25.05361,25.049187,-0.16034406,0.44261405,105.0,51001580,589,30,927,25053,1782507050.348608
25.12995,25.118704,0.3193118,0.68051547,324.0,50715250,562,29,8070,25129,1782507050.4463947
25.120947,25.111732,0.011038739,0.68028456,380.0,50910930,585,29,43766,25120,1782507050.4463947
25.05261,25.048187,-0.16033767,0.44259784,102.0,51008250,557,30,64123,25052,1782507050.4463947
25.124949,25.115732,0.011040462,0.6803872,407.0,50923300,592,29,60842,25124,1782507050.5505989
25.11761,25.113691,-0.0066585387,0.44365284,402.0,50923300,663,30,57160,25117,1782507050.5505989
25.02261,25.018192,-0.16014594,0.4421109,100.0,51020660,613,30,63035,25022,1782507050.5505989
24.81561,24.807648,0.4501228,0.4387511,8.0,50622210,532,30,5161,24815,1782507050.6533675
25.12761,25.121878,0.30164573,0.44381514,431.0,50720260,600,30,10492,25127,1782507050.6533675
25.12161,25.117258,0.1474598,0.44371775,393.0,50817940,642,30,51686,25121,1782507050.6533675
25.13161,25.12769,-0.006662127,0.44388005,401.0,50915880,618,30,57063,25131,1782507050.6533675
25.01561,25.011192,-0.16010119,0.4419973,84.0,51013210,580,30,53168,25015,1782507050.6533675
25.123608,25.119257,0.14747156,0.4437502,419.0,50791070,609,30,2771,25123,1782507050.7488928
25.02761,25.023191,-0.16017789,0.44219205,99.0,50986180,560,30,62097,25027,1782507050.7488928
25.357609,25.349487,0.45995903,0.44754824,8.0,50586980,532,30,5389,25357,1782507050.8510892
25.12761,25.123257,0.14749508,0.44381514,439.0,50782660,641,30,15318,25127,1782507050.8510892
25.11095,25.099712,0.31907052,0.680028,329.0,50685800,520,29,11147,25110,1782507051.0498662
25.100948,25.09174,0.0110301245,0.6797715,384.0,50899920,553,29,45458,25100,1782507051.1502237
25.09161,25.085886,0.30121323,0.44323084,426.0,50704250,624,30,6432,25091,1782507051.1502237
25.130947,25.121729,0.011043047,0.6805411,384.0,50933920,536,29,46116,25130,1782507051.2495224
25.12261,25.11869,-0.00665982,0.443734,393.0,50933920,652,30,51646,25122,1782507051.2495224
25.098608,25.092884,0.3012973,0.44334444,390.0,50747800,629,30,49408,25098,1782507051.3477862
25.12361,25.11969,-0.0066600763,0.4437502,416.0,50943640,617,30,833,25123,1782507051.3477862
25.11495,25.10371,0.3191213,0.68013066,335.0,50777570,567,29,14736,25114,1782507051.5465524
25.006613,25.002195,-0.16004367,0.4418512,94.0,51070870,543,30,58958,25006,1782507051.5465524
25.104946,25.095196,0.16501619,0.6798741,415.0,50884940,495,29,65385,25104,1782507051.648913
25.09261,25.086885,0.30122524,0.44324705,386.0,50787100,602,30,46919,25092,1782507051.648913
25.03061,25.026192,-0.16019706,0.44224074,106.0,51080460,617,30,1278,25030,1782507051.648913
25.132948,25.121702,0.31934988,0.6805924,350.0,50779970,510,29,24826,25132,1782507051.7525434
25.123945,25.11419,0.16514091,0.6803615,371.0,50877750,523,29,37851,25123,1782507051.7525434
25.115948,25.106735,0.011036585,0.6801563,408.0,50975790,525,29,61025,25115,1782507051.7525434
